sex,padreSector,fechaNacimiento,edadDejaEstudio,muere,naceFueraMatri,madreEdad
male,Agricultura,1853-05-23,15,0,no,35.009
male,Agricultura,1853-07-19,15,0,no,30.609
male,NoFijo,1861-11-17,15,0,no,29.32
male,Agricultura,1872-11-16,15,0,no,41.183
female,NoFijo,1855-07-19,0.559,1,no,42.138
male,Agricultura,1855-09-29,0.315,1,no,32.931
male,Agricultura,1865-04-26,15,0,no,42.36
male,Agricultura,1866-08-06,15,0,no,28.684
female,Agricultura,1867-04-06,15,0,no,43.373
female,Agricultura,1858-03-20,15,0,yes,35.674
male,NoFijo,1875-11-17,6.385,1,no,26.081
female,Agricultura,1852-09-07,0.055,1,no,29.032
male,Agricultura,1877-02-22,15,0,no,41.024
male,Agricultura,1863-10-15,15,0,no,25.993
male,NoFijo,1855-01-04,15,0,no,25.405
male,Agricultura,1882-04-21,15,0,no,20.205
male,Agricultura,1869-06-10,15,0,no,25.306
female,Agricultura,1850-06-22,15,0,no,33.87
male,Agricultura,1864-02-27,15,0,no,41.667
male,Agricultura,1879-04-21,15,0,no,22.62
female,Agricultura,1855-01-13,15,0,no,23.157
female,NoFijo,1872-09-23,15,0,no,28.643
female,NoFijo,1882-11-19,15,0,no,31.08
female,NoFijo,1856-01-11,2.65,1,no,25.988
female,Agricultura,1853-10-10,15,0,no,25.391
male,NoFijo,1863-10-18,4.862,1,no,29.128
male,Agricultura,1878-06-26,15,0,no,36.698
male,Agricultura,1850-04-04,15,0,no,29.812
male,SectorPublico,1872-08-17,15,0,no,30.324
female,Agricultura,1882-12-14,15,0,no,29.771
male,Agricultura,1874-02-28,0.008,1,yes,25.993
female,Agricultura,1867-05-22,15,0,yes,34.418
female,NoFijo,1879-02-19,15,0,no,35.581
male,NoFijo,1860-12-01,15,0,yes,31.795
male,Agricultura,1877-01-27,15,0,no,22.283
female,Agricultura,1857-02-10,15,0,no,28.145
male,Agricultura,1862-06-27,15,0,no,23.187
female,Agricultura,1883-05-18,15,0,no,30.628
female,NoFijo,1877-05-18,15,0,no,32.769
female,Agricultura,1863-10-15,15,0,yes,37.777
female,Agricultura,1862-08-09,15,0,no,22.738
female,Agricultura,1850-04-25,15,0,no,38.47
female,Agricultura,1881-09-15,11.266,1,no,37.495
female,Agricultura,1861-04-07,2.111,1,no,40.159
male,Agricultura,1866-12-21,15,0,yes,22.65
male,NoFijo,1871-04-07,1.999,1,no,34.752
male,Agricultura,1859-03-15,15,0,no,41.322
male,Agricultura,1875-02-12,15,0,no,26.094
female,Agricultura,1872-01-14,15,0,no,30.587
male,NoFijo,1871-05-09,15,0,no,40.747
male,Agricultura,1882-03-21,7.387,1,no,28.542
female,Agricultura,1883-02-14,15,0,no,42.322
male,NoFijo,1881-11-19,8.145,1,no,21.432
female,Agricultura,1874-01-06,1.982,1,no,36.994
female,Agricultura,1860-08-07,0.005,1,no,42.779
male,Agricultura,1867-11-16,15,0,no,31.923
male,Agricultura,1853-02-27,0.205,1,yes,27.554
female,Agricultura,1867-11-20,15,0,no,31.795
male,Agricultura,1855-02-17,15,0,no,25.632
female,NoFijo,1863-09-23,15,0,no,39.825
male,Agricultura,1869-12-26,15,0,no,25.966
female,Agricultura,1873-01-05,15,0,no,29.856
female,NoFijo,1879-11-15,1.706,1,yes,21.254
male,Agricultura,1865-04-14,15,0,no,35.258
female,NoFijo,1862-04-08,15,0,no,32.953
male,Agricultura,1852-02-02,3.14,1,no,19.118
male,Agricultura,1861-03-03,15,0,no,32.972
female,NoFijo,1852-08-02,15,0,no,23.028
female,Agricultura,1877-02-21,15,0,no,30.111
male,Agricultura,1865-10-23,0.463,1,no,26.448
male,Agricultura,1884-11-29,15,0,no,27.543
female,Agricultura,1879-04-23,15,0,no,23.576
male,Agricultura,1861-07-03,15,0,no,23.639
male,Agricultura,1876-12-08,13.024,1,no,28.29
female,Agricultura,1861-04-25,15,0,no,19.866
male,NoFijo,1854-10-03,15,0,no,28.619
female,Agricultura,1877-06-05,8.695,1,no,34.839
male,Agricultura,1858-09-24,15,0,no,31.439
female,Agricultura,1880-12-17,15,0,no,41.437
male,Agricultura,1869-12-07,15,0,no,22.746
male,NoFijo,1882-07-02,15,0,no,25.481
male,Agricultura,1876-12-10,12.569,1,no,18.93
female,Agricultura,1882-07-13,2.543,1,no,38.672
male,Agricultura,1879-12-23,15,0,no,25.01
female,Agricultura,1883-12-25,15,0,no,25.413
female,Agricultura,1874-05-20,15,0,no,25.728
female,Agricultura,1854-08-22,15,0,no,44.474
female,NoFijo,1855-06-11,1.799,1,no,36.088
female,Agricultura,1854-01-30,15,0,no,32.802
female,Agricultura,1875-09-11,15,0,no,21.342
male,NoFijo,1877-07-28,15,0,no,36.167
female,Agricultura,1882-07-21,15,0,no,27.762
female,Agricultura,1853-10-04,15,0,no,31.617
male,Agricultura,1850-06-27,15,0,no,31.441
male,Agricultura,1876-10-21,0.041,1,no,38.675
female,Agricultura,1869-03-05,4.764,1,no,26.456
male,Agricultura,1858-04-30,15,0,no,31.088
female,SectorPublico,1863-03-12,15,0,no,43.617
male,NoFijo,1853-11-01,15,0,no,33.977
female,Agricultura,1879-04-11,15,0,no,28.528
male,Agricultura,1875-08-18,2.245,1,no,19.975
male,NoFijo,1881-02-04,0.687,1,no,25.755
female,Agricultura,1881-10-23,15,0,no,33.054
female,Agricultura,1873-07-07,15,0,no,31.187
female,Agricultura,1876-06-15,15,0,no,25.706
male,NoFijo,1864-10-29,15,0,no,20.665
male,Agricultura,1877-06-13,15,0,no,25.585
female,Agricultura,1863-04-19,15,0,no,31.967
male,SectorPublico,1862-08-09,15,0,no,32.085
female,Agricultura,1872-07-02,15,0,no,33.848
male,NoFijo,1864-08-02,15,0,no,37.194
male,Agricultura,1850-08-15,1.914,1,no,25.541
female,Agricultura,1865-01-27,15,0,no,29.144
male,Agricultura,1881-09-01,15,0,no,23.704
male,NoFijo,1883-09-16,15,0,no,24.712
female,NoFijo,1850-01-15,15,0,no,33.53
male,NoFijo,1869-10-06,15,0,no,24.364
male,Agricultura,1853-12-07,15,0,no,34.962
female,Agricultura,1859-06-25,15,0,yes,27.321
male,Agricultura,1875-06-19,0.104,1,no,18.283
male,NoFijo,1874-02-08,15,0,no,32.89
male,Agricultura,1851-11-05,0.036,1,no,34.886
female,Agricultura,1879-12-05,15,0,no,41.133
female,SectorPrivado,1869-08-27,4.348,1,yes,28.29
female,NoFijo,1864-06-23,15,0,no,44.994
male,NoFijo,1871-04-07,15,0,no,45.47
male,Agricultura,1854-09-03,15,0,no,44.175
female,NoFijo,1877-01-11,15,0,no,29.736
male,Agricultura,1869-12-01,15,0,no,28.953
female,SectorPublico,1877-05-06,15,0,no,37.457
female,Agricultura,1882-04-24,4.687,1,no,26.727
male,Agricultura,1855-09-02,15,0,no,31.852
male,NoFijo,1876-05-13,15,0,no,27.778
female,Agricultura,1881-02-01,15,0,no,27.589
female,Agricultura,1877-07-06,12.055,0,no,22.431
male,Agricultura,1884-12-16,0.093,1,no,30.297
male,NoFijo,1868-01-21,15,0,no,40.085
male,Agricultura,1869-03-16,15,0,no,34.001
male,SectorPublico,1864-11-04,0.654,1,no,34.324
male,Agricultura,1881-02-25,15,0,no,34.289
female,Agricultura,1874-07-29,15,0,no,22.921
male,Agricultura,1869-03-26,15,0,no,26.765
female,Agricultura,1856-09-15,15,0,no,23.017
female,Agricultura,1858-04-10,15,0,no,32.471
female,Agricultura,1883-06-06,15,0,no,29.782
female,NoFijo,1867-04-14,1.295,1,no,40.413
female,Agricultura,1881-07-12,15,0,no,24.843
female,Agricultura,1863-07-28,15,0,no,36.419
female,NoFijo,1872-11-07,15,0,no,29.481
male,NoFijo,1857-03-15,1.5,1,no,40.364
female,NoFijo,1853-12-28,15,0,no,30.53
male,Agricultura,1855-03-25,15,0,no,40.805
female,Agricultura,1859-10-07,15,0,no,34.111
male,Agricultura,1871-04-23,15,0,no,25.306
male,Agricultura,1882-12-11,15,0,no,35.937
female,NoFijo,1884-02-14,15,0,no,25.158
male,NoFijo,1870-08-19,15,0,no,27.113
male,Agricultura,1861-05-17,0.561,1,no,32.512
female,Agricultura,1882-08-17,1.845,1,no,25.969
female,Agricultura,1876-12-25,15,0,no,25.207
male,Agricultura,1883-05-15,15,0,no,30.084
female,Agricultura,1863-10-15,2.272,1,no,34.489
female,Agricultura,1868-10-31,15,0,no,35.496
female,NoFijo,1866-05-12,15,0,no,28.482
male,Agricultura,1883-03-03,15,0,no,35.105
female,Agricultura,1881-02-20,15,0,no,21.829
female,NoFijo,1874-02-27,15,0,no,31.044
male,NoFijo,1856-12-17,15,0,no,26.094
female,Agricultura,1883-12-11,15,0,no,29.413
female,Agricultura,1862-12-31,15,0,no,42.097
female,Agricultura,1875-07-04,15,0,no,23.765
female,Agricultura,1861-05-25,15,0,no,20.099
female,Agricultura,1879-12-09,15,0,yes,24
male,Agricultura,1879-03-28,0.052,1,no,32.049
male,Agricultura,1866-11-06,15,0,no,31.559
male,NoFijo,1873-01-08,15,0,no,28.857
female,Agricultura,1875-09-29,15,0,no,44.487
female,Agricultura,1861-08-04,15,0,no,36.824
male,Agricultura,1873-03-14,15,0,no,33.103
female,Agricultura,1864-07-31,1.385,1,no,30.801
male,Agricultura,1881-06-14,15,0,no,44.2
female,NoFijo,1874-12-08,15,0,no,25.112
male,NoFijo,1864-01-25,5.035,0,no,31.488
female,Agricultura,1868-07-16,15,0,yes,35.184
male,NoFijo,1859-09-16,15,0,no,43.797
male,NoFijo,1861-07-28,15,0,no,34.13
female,Agricultura,1876-05-13,15,0,no,43.296
female,Agricultura,1880-01-22,15,0,no,28.912
